Group	Breeds	ID
DC	Bama_miniature	0399e73360ec872822ce8d7a690d0e9e
DC	Bama_miniature	08533d41fcf7f71b256e259b29819762
DC	Bama_miniature	141f9fd07da844c8958d6dda30b130c2
DC	Bama_miniature	17b63c88764a628bcc2332ba6132242f
DC	Bama_miniature	29335a7618e80d4975e15ac4ef78c132
DC	Bama_miniature	32351acf0fa6f2346e33803c05122eac
DC	Bama_miniature	3b14342bfafbdc9e18fc8996cd00fda8
DC	Bama_miniature	3fbad826823445d371e92b7f3e23be16
DC	Bama_miniature	40f320a9cba934a1b4e929cf46ed0a41
DC	Bama_miniature	4600b3d71557a640ca523577adc04b10
DC	Bama_miniature	463027b16ac7960483e783ae5df7015f
DC	Bama_miniature	521197bbd5da1a548e068d39f5f108c3
DC	Bama_miniature	591f515663013e57b7f9c3937e6c7abc
DC	Bama_miniature	5ca570801895c2802e999ba76575b868
DC	Bama_miniature	60545f755670e0e3dac6677fc627fc1e
DC	Bama_miniature	6cac9a8ddb5dc1fe3b851ce1a90791d3
DC	Bama_miniature	7002fedda76069253c077301b37c1377
DC	Bama_miniature	70eedbbef856cd736b4d360fa60fffec
DC	Bama_miniature	71a5cbc66a897edc9179db4420309fef
DC	Bama_miniature	82498b56a77f4cd427c9fbe2213df378
DC	Bama_miniature	869f75fb77c35b63518d027b54db7c4e
DC	Bama_miniature	8aa929bcbdce3fa9546c049a2c783b0e
DC	Bama_miniature	94f59807dee5577d3f811ac205b668f3
DC	Bama_miniature	a42d0e97c8d1299566ac54208c3bb3e5
DC	Bama_miniature	a5ee464c22cf6a0abedea687430fd514
DC	Bama_miniature	b0034d72353ca198e904f3390c887acc
DC	Bama_miniature	b7d19dc8493cd48c4c890c92351a86dc
DC	Bamei	Bamei_1
DC	Bamei	Bamei_2
DC	Bamei	Bamei_3
DC	Bamei	Bamei_4
DC	Bamei	Bamei_5
DC	Bamei	Bamei_6
DC	Baoshan	Baoshan_1
DC	Baoshan	Baoshan_2
DC	Baoshan	Baoshan_3
DC	Baoshan	Baoshan_4
DC	Baoshan	Baoshan_5
DC	Baoshan	Baoshan_6
DC	Bama_miniature	c196c033eb33045065105b22b97022a5
DC	Bama_miniature	c3ad062ea12ccd66c5a7fbbb2de4b2ce
DC	Bama_miniature	ca6f2adb83f13ec83e68c57772c184ed
DC	Bama_miniature	dcef5cdbd377bea6dab045e5d1a0f1a1
DC	Diannanxiaoer	Diannanxiaoer_1
DC	Diannanxiaoer	Diannanxiaoer_10
DC	Diannanxiaoer	Diannanxiaoer_11
DC	Diannanxiaoer	Diannanxiaoer_12
DC	Diannanxiaoer	Diannanxiaoer_13
DC	Diannanxiaoer	Diannanxiaoer_14
DC	Diannanxiaoer	Diannanxiaoer_15
DC	Diannanxiaoer	Diannanxiaoer_16
DC	Diannanxiaoer	Diannanxiaoer_18
DC	Diannanxiaoer	Diannanxiaoer_19
DC	Diannanxiaoer	Diannanxiaoer_2
DC	Diannanxiaoer	Diannanxiaoer_20
DC	Diannanxiaoer	Diannanxiaoer_21
DC	Diannanxiaoer	Diannanxiaoer_22
DC	Diannanxiaoer	Diannanxiaoer_24
DC	Diannanxiaoer	Diannanxiaoer_25
DC	Diannanxiaoer	Diannanxiaoer_26
DC	Diannanxiaoer	Diannanxiaoer_27
DC	Diannanxiaoer	Diannanxiaoer_28
DC	Diannanxiaoer	Diannanxiaoer_29
DC	Diannanxiaoer	Diannanxiaoer_3
DC	Diannanxiaoer	Diannanxiaoer_30
DC	Diannanxiaoer	Diannanxiaoer_31
DC	Diannanxiaoer	Diannanxiaoer_4
DC	Diannanxiaoer	Diannanxiaoer_5
DC	Diannanxiaoer	Diannanxiaoer_6
DC	Diannanxiaoer	Diannanxiaoer_7
DC	Diannanxiaoer	Diannanxiaoer_8
DC	Diannanxiaoer	Diannanxiaoer_9
DC	Bama_miniature	e987364902a05bd6ba83c7c646eeba86
DC	Bama_miniature	ead2b799d9d173bfb47907a014f0bc19
DC	Bama_miniature	ebe3bbbf37ac96a7f59a0e4b57f48d6d
DC	Jinhua	Jinhua_1
DC	Jinhua	Jinhua_2
DC	Jinhua	Jinhua_3
DC	Jinhua	Jinhua_4
DC	Jinhua	Jinhua_5
DC	Jinhua	Jinhua_6
DC	Neijiang	Neijiang_1
DC	Neijiang	Neijiang_2
