Group	Breeds	ID
RJF	Gallus gallus spadiceus	GGB_04322
RJF	Gallus gallus spadiceus	GGG_01042
RJF	Gallus gallus spadiceus	GGG_02152
RJF	Gallus gallus spadiceus	GGM_46
RJF	Gallus gallus spadiceus	GGS_113
RJF	Gallus gallus spadiceus	H0031_PP_P9908
RJF	Gallus gallus spadiceus	H0034_SBG_P9908
RJF	Gallus gallus spadiceus	H0038_P9908
RJF	Gallus gallus spadiceus	PC093_RJF1
RJF	Gallus gallus spadiceus	RJF02_GR_P9908
RJF	Gallus gallus spadiceus	RJF11_SM_P9908
RJF	Gallus gallus spadiceus	RJF14_SM_P9908
RJF	Gallus gallus spadiceus	RJF24_SM_P9908
RJF	Gallus gallus spadiceus	SR20_RJF09
RJF	Gallus gallus spadiceus	SR20_RJF10
RJF	Gallus gallus spadiceus	RJF42_LAS_P9908
RJF	Gallus gallus spadiceus	RJF43_LAS_P9908
RJF	Gallus gallus spadiceus	RJF50_LD_P9908
RJF	Gallus gallus spadiceus	RJF52_RV_P9908
RJF	Gallus gallus spadiceus	RJF55_RV_P9908
RJF	Gallus gallus spadiceus	RJF56_RV_P9908
RJF	Gallus gallus spadiceus	RJF57_RV_P9908
RJF	Gallus gallus spadiceus	18833
RJF	Gallus gallus jabouillei 	19297
RJF	Gallus gallus spadiceus	19912
RJF	Gallus gallus jabouillei 	20736
RJF	Gallus gallus gallus	BKL2
RJF	Gallus gallus gallus	ERR2985532
RJF	Gallus gallus gallus	ERR2985533
RJF	Gallus gallus gallus	ERR2985534
RJF	Gallus gallus gallus	ERR2985535
RJF	Gallus gallus gallus	ERR2985536
RJF	Gallus gallus gallus	ERR2985537
RJF	Gallus gallus gallus	ERR2985538
RJF	Gallus gallus gallus	ERR2985539
RJF	Gallus gallus gallus	ERR2985540
RJF	Gallus gallus gallus	ERR2985541
RJF	Gallus gallus gallus	ERR2985542
RJF	Gallus gallus gallus	ERR2985543
RJF	Gallus gallus gallus	ERR2985544
RJF	Gallus gallus gallus	ERR2985545
RJF	Gallus gallus gallus	ERR2985546
RJF	Gallus gallus gallus	ERR2985547
RJF	Gallus gallus gallus	ERR2985548
RJF	Gallus gallus gallus	ERR2985549
RJF	Gallus gallus gallus	ERR2985550
RJF	Gallus gallus gallus	ERR2985551
RJF	Gallus gallus gallus	ERR2985552
RJF	Gallus gallus gallus	ERR2985553
RJF	Gallus gallus gallus	ERR2985554
RJF	Gallus gallus gallus	ERR2985555
RJF	Gallus gallus gallus	ERR2985556
RJF	Gallus gallus jabouillei 	RJF01
RJF	Gallus gallus bankiva	RJFj650
RJF	Gallus gallus gallus	RJFj708
RJF	Gallus gallus gallus	RJFj709
RJF	Gallus gallus bankiva	RJFj759
RJF	Gallus gallus bankiva	RJFj760
RJF	Gallus gallus murghi	Xcelris-101
RJF	Gallus gallus murghi	Xcelris-104
RJF	Gallus gallus murghi	Xcelris-105
RJF	Gallus gallus murghi	Xcelris-112
RJF	Gallus gallus murghi	Xcelris-113
RJF	Gallus gallus murghi	Xcelris-114
RJF	Gallus gallus murghi	Xcelris-12
RJF	Gallus gallus murghi	Xcelris-120
RJF	Gallus gallus murghi	Xcelris-128
RJF	Gallus gallus murghi	Xcelris-129
RJF	Gallus gallus murghi	Xcelris-13
RJF	Gallus gallus murghi	Xcelris-14
RJF	Gallus gallus murghi	Xcelris-143
RJF	Gallus gallus murghi	Xcelris-144
RJF	Gallus gallus murghi	Xcelris-219
RJF	Gallus gallus murghi	Xcelris-222
RJF	Gallus gallus murghi	Xcelris-224
RJF	Gallus gallus murghi	Xcelris-226
RJF	Gallus gallus murghi	Xcelris-227
RJF	Gallus gallus murghi	Xcelris-278
RJF	Gallus gallus murghi	Xcelris-332
RJF	Gallus gallus murghi	Xcelris-333
RJF	Gallus gallus murghi	Xcelris-335
RJF	Gallus gallus murghi	Xcelris-336
RJF	Gallus gallus murghi	Xcelris-339
RJF	Gallus gallus murghi	Xcelris-340
RJF	Gallus gallus murghi	Xcelris-341
RJF	Gallus gallus murghi	Xcelris-377
RJF	Gallus gallus murghi	Xcelris-378
RJF	Gallus gallus murghi	Xcelris-379
RJF	Gallus gallus murghi	Xcelris-381
RJF	Gallus gallus murghi	Xcelris-382
RJF	Gallus gallus murghi	Xcelris-383
RJF	Gallus gallus murghi	Xcelris-384
RJF	Gallus gallus murghi	Xcelris-44
RJF	Gallus gallus murghi	Xcelris-67
RJF	Gallus gallus murghi	Xcelris-77
RJF	Gallus gallus murghi	Xcelris-84
RJF	Gallus gallus murghi	Xcelris-90
RJF	Gallus gallus murghi	Xcelris-98
RJF	Gallus gallus murghi	Xcelris-MT-134
RJF	Gallus gallus murghi	Xcelris-MT-18
RJF	Gallus gallus murghi	Xcelris-MT-6
RJF	Gallus gallus murghi	Xcelris-MT-85
RJF	Gallus gallus murghi	Xcelris-MT-9
RJF	Gallus gallus murghi	Xcelris-MT-99
RJF	Gallus gallus gallus	YP160822-011
RJF	Gallus gallus gallus	YP160822-012
RJF	Gallus gallus gallus	YP160822-017
RJF	Gallus gallus gallus	YP160822-018
RJF	Gallus gallus gallus	YP170507-019
RJF	Gallus gallus jabouillei 	ypt2781
RJF	Gallus gallus jabouillei 	ypt2782
RJF	Gallus gallus jabouillei 	ypt2783
RJF	Gallus gallus jabouillei 	ypt2784
RJF	Gallus gallus jabouillei 	ypt2785
RJF	Gallus gallus jabouillei 	ypt2786
RJF	Gallus gallus jabouillei 	ypt2787
RJF	Gallus gallus jabouillei 	ypt2788
RJF	Gallus gallus jabouillei 	ypt2789
RJF	Gallus gallus jabouillei 	ypt2790
RJF	Gallus gallus jabouillei 	ypt2791
RJF	Gallus gallus jabouillei 	ypt2792
RJF	Gallus gallus jabouillei 	ypt2799
RJF	Gallus gallus jabouillei 	ypt2800
RJF	Gallus gallus bankiva	ypt2812
RJF	Gallus gallus gallus	ypt2813
RJF	Gallus gallus gallus	ypt2814
RJF	Gallus gallus gallus	ypt2815
RJF	Gallus gallus gallus	ypt2816
RJF	Gallus gallus gallus	ypt2817
RJF	Gallus gallus bankiva	ypt2819
RJF	Gallus gallus jabouillei 	ypt2821
RJF	Gallus gallus jabouillei 	ypt2822
RJF	Gallus gallus jabouillei 	ypt2823
RJF	Gallus gallus jabouillei 	ypt2824
RJF	Gallus gallus jabouillei 	ypt2825
RJF	Gallus gallus jabouillei 	ypt2826
RJF	Gallus gallus jabouillei 	ypt2827
RJF	Gallus gallus jabouillei 	ypt2828
RJF	Gallus gallus spadiceus	ypt3001
RJF	Gallus gallus spadiceus	ypt3002
RJF	Gallus gallus spadiceus	ypt3003
RJF	Gallus gallus spadiceus	ypt3004
RJF	Gallus gallus spadiceus	ypt3005
RJF	Gallus gallus spadiceus	ypt3006
RJF	Gallus gallus spadiceus	ypt3007
RJF	Gallus gallus spadiceus	ypt3008
RJF	Gallus gallus spadiceus	ypt3009
RJF	Gallus gallus spadiceus	ypt3010
RJF	Gallus gallus spadiceus	ypt3011
RJF	Gallus gallus spadiceus	ypt3012
RJF	Gallus gallus spadiceus	ypt3016
RJF	Gallus gallus spadiceus	ypt3017
RJF	Gallus gallus spadiceus	ypt3028
RJF	Gallus gallus spadiceus	ypt3038
